Status,class,category,fdc_id,data_type,description
,,,174263,sr_legacy_food,"Peanuts, spanish, raw"
,,,172432,sr_legacy_food,"Peanuts, valencia, raw"
,,,172434,sr_legacy_food,"Peanuts, virginia, raw"
,,,1102683,survey_fndds_food,"Pear, Asian, raw"
,,,1102682,survey_fndds_food,"Pear, raw"
,,,168177,sr_legacy_food,"Pears, asian, raw"
,,,169118,sr_legacy_food,"Pears, raw"
,,,746773,foundation_food,"Pears, raw, bartlett"
,,,167776,sr_legacy_food,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)"
,,,167778,sr_legacy_food,"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)"
,,,167779,sr_legacy_food,"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)"
,,,167777,sr_legacy_food,"Pears, raw, red anjou"
,,,170010,sr_legacy_food,"Peas, edible-podded, raw"
,,,170419,sr_legacy_food,"Peas, green, raw"
,,,172428,sr_legacy_food,"Peas, green, split, mature seeds, raw"
,,,170422,sr_legacy_food,"Peas, mature seeds, sprouted, raw"
,,,1103373,survey_fndds_food,"Pepper, banana, raw"
,,,169394,sr_legacy_food,"Pepper, banana, raw"
,,,1103367,survey_fndds_food,"Pepper, hot chili, raw"
,,,1103368,survey_fndds_food,"Pepper, poblano, raw"
,,,1103370,survey_fndds_food,"Pepper, raw, NFS"
,,,1103369,survey_fndds_food,"Pepper, Serrano, raw"
,,,1103371,survey_fndds_food,"Pepper, sweet, green, raw"
,,,1103372,survey_fndds_food,"Pepper, sweet, red, raw"
,,,170497,sr_legacy_food,"Peppers, hot chili, green, raw"
,,,170106,sr_legacy_food,"Peppers, hot chili, red, raw"
,,,168578,sr_legacy_food,"Peppers, hungarian, raw"
,,,168576,sr_legacy_food,"Peppers, jalapeno, raw"
,,,169395,sr_legacy_food,"Peppers, serrano, raw"
,,,170427,sr_legacy_food,"Peppers, sweet, green, raw"
,,,170108,sr_legacy_food,"Peppers, sweet, red, raw"
,,,169383,sr_legacy_food,"Peppers, sweet, yellow, raw"
,,,1102687,survey_fndds_food,"Persimmon, raw"
,,,169941,sr_legacy_food,"Persimmons, japanese, raw"
,,,169943,sr_legacy_food,"Persimmons, native, raw"
,,,324653,foundation_food,"Pickles, cucumber, dill or kosher dill"
,,,172436,sr_legacy_food,"Pigeon peas (red gram), mature seeds, raw"
,,,170025,sr_legacy_food,"Pigeonpeas, immature seeds, raw"
,,,1102688,survey_fndds_food,"Pineapple, raw"
,,,169124,sr_legacy_food,"Pineapple, raw, all varieties"
,,,168194,sr_legacy_food,"Pineapple, raw, extra sweet variety"
,,,168193,sr_legacy_food,"Pineapple, raw, traditional varieties"
,,,169129,sr_legacy_food,"Pitanga, (surinam-cherry), raw"
